optimizer,cpu,memory,time,epochs,predictions,dataset,loss,accuracy
rmsprop,24.1562,27.4287,25.7513,2,130.5009,16,0.09125,0.97396
adadelta,20.7938,27.4085,26.1753,2,304.5021,8,0.8105,0.54688
adagrad,21.6594,27.4254,25.8325,2,174.0012,16,0.24975,0.91667
adam,21.7703,27.572,26.6459,2,174.0012,16,0.08131,0.97396
adamax,22.1703,27.522,25.2667,2,174.0012,14,0.12246,0.96354
ftrl,20.5203,27.7795,27.1853,2,348.0024,16,0.29026,0.89062
nadam,19.9891,27.5969,25.1303,2,217.5015,16,0.06286,0.98438
sgd,21.4109,27.5083,25.8327,2,261.0018,15,0.07847,0.97917
rmsprop,22.2344,27.7413,23.1846,2,43.5003,16,0.034,0.98958
adadelta,20.1625,27.9751,25.8241,2,261.0018,9,0.76136,0.48958
adagrad,22.5797,27.9314,27.0875,2,348.0024,15,0.25945,0.90104
adam,23.4781,27.7237,27.8839,2,174.0012,15,0.05501,0.99479
adamax,22.0938,28.1501,28.1622,2,435.0031,13,0.21744,0.875
ftrl,22.9234,27.7566,24.1404,2,43.5003,16,0.22818,0.93229
nadam,22.9906,27.6403,27.0345,2,130.5009,16,0.09566,0.96354
sgd,20.75,28.4828,28.667,2,261.0018,16,0.1171,0.95312
rmsprop,22.5578,28.6122,30.0737,2,435.0031,16,0.10732,0.95833
adadelta,24.0578,28.2052,28.1792,2,304.5021,8,0.89155,0.34896
adagrad,21.2688,27.907,30.4729,2,435.0031,15,0.32533,0.83333
adam,22.3062,28.0471,27.4829,2,261.0018,15,0.09262,0.96875
adamax,21.0547,28.0031,28.6566,2,304.5021,16,0.18652,0.92708
ftrl,21.8969,28.1663,27.9648,2,217.5015,15,0.28386,0.92188
nadam,23.1016,27.8546,30.857,2,348.0024,14,0.09473,0.98438
sgd,22.0766,27.9878,28.3221,2,304.5021,16,0.07805,0.97917
rmsprop,24.2234,27.9754,28.4754,2,348.0024,15,0.07691,0.97396
adadelta,22.2797,27.8024,28.6948,2,174.0012,6,0.79952,0.52083
adagrad,22.8172,28.1517,23.5667,2,43.5003,14,0.21705,0.92188
adam,20.6875,28.1696,28.3952,2,304.5021,16,0.07353,0.97917
adamax,23.3484,28.0953,29.4177,2,261.0018,15,0.1416,0.95312
ftrl,22.1078,28.0984,27.4912,2,217.5015,16,0.24541,0.90104
nadam,22.1547,27.9396,25.554,2,130.5009,16,0.06967,0.97396
sgd,23.7547,28.2336,27.7753,2,174.0012,16,0.08898,0.95833
rmsprop,22.875,28.2395,26.4407,2,261.0018,16,0.0786,0.98958
adadelta,22.1906,28.1426,28.0782,2,304.5021,4,0.90451,0.39062
adagrad,21.1297,28.2325,23.6537,2,43.5003,14,0.24591,0.89062
adam,22.5719,28.1693,28.2689,2,304.5021,15,0.09173,0.95312
adamax,22.4641,28.1477,26.7163,2,217.5015,16,0.17799,0.91667
ftrl,21.4156,28.0485,46.7666,2,217.5015,16,0.30047,0.83854
nadam,19.6328,28.1304,35.737,2,435.0031,16,0.08272,0.98438
sgd,16.0672,28.5124,39.1556,2,435.0031,15,0.13029,0.95833
rmsprop,20.8578,28.5663,35.6728,2,174.0012,15,0.03076,0.98958
adadelta,19.0875,28.525,32.4614,2,174.0012,3,0.80756,0.50521
adagrad,19.4797,28.6212,32.8636,2,217.5015,15,0.40727,0.77604
adam,18.4531,28.4871,35.7086,2,87.0006,15,0.0479,0.98958
adamax,19.7656,28.2941,34.8322,2,217.5015,14,0.15024,0.93229
ftrl,19.1859,28.3477,32.7211,2,43.5003,15,0.24432,0.91667
nadam,20.1391,28.2058,30.8799,2,87.0006,15,0.05874,0.98438
sgd,18.5641,28.2848,34.1884,2,348.0024,15,0.10368,0.95312
rmsprop,19.2266,28.5645,31.7524,2,87.0006,16,0.10459,0.96354
adadelta,18.6797,28.6777,34.741,2,304.5021,10,0.78743,0.47917
adagrad,19.4,28.9878,37.0736,2,261.0018,15,0.35172,0.84375
adam,15.6312,28.7276,34.2558,2,174.0012,14,0.08477,0.95833
adamax,17.3656,28.4935,35.349,2,174.0012,15,0.16573,0.95312
ftrl,20.3078,28.5731,34.9114,2,348.0024,15,0.22123,0.92708
nadam,18.5391,28.3042,33.8803,2,391.5027,14,0.07833,0.98438
sgd,17.4172,28.4588,38.5256,2,391.5027,13,0.19688,0.89583
rmsprop,20.3359,28.929,29.8918,2,217.5015,16,0.03852,0.97917
adadelta,19.575,28.7277,34.9956,2,391.5027,7,0.71248,0.59375
adagrad,19.1875,28.7644,33.7769,2,130.5009,15,0.20605,0.92188
adam,17.7422,28.5923,37.6508,2,435.0031,15,0.07832,0.96354
adamax,18.5656,28.7353,33.5828,2,130.5009,15,0.12891,0.96875
ftrl,17.6781,28.7673,30.1547,2,217.5015,14,0.29347,0.875
nadam,16.8688,28.4343,37.7944,2,217.5015,16,0.10181,0.95312
sgd,16.7328,28.5782,36.3771,2,348.0024,16,0.12032,0.96354
rmsprop,19.3562,28.7864,34.2088,2,348.0024,16,0.07754,0.97917
adadelta,19.8453,28.6826,35.8025,2,348.0024,11,0.57034,0.61458
adagrad,21.0016,28.7084,29.2492,2,43.5003,16,0.28885,0.82812
adam,17.9,29.0178,29.428,2,217.5015,16,0.09882,0.95833
adamax,20.4328,29.0886,29.1826,2,43.5003,15,0.10644,0.97396
ftrl,17.1469,29.3694,34.8172,2,435.0031,15,0.30403,0.88542
nadam,16.6094,29.0645,33.9,2,43.5003,15,0.05062,0.98438
sgd,19.9938,29.0854,33.6351,2,348.0024,16,0.09547,0.96354
rmsprop,18.8781,29.1584,32.5704,2,174.0012,16,0.04699,0.97396
adadelta,18.3531,29.1104,28.6404,2,43.5003,6,1.10798,0.46354
adagrad,18.2391,29.1621,34.3705,2,87.0006,14,0.31363,0.85417
adam,21.2625,29.205,32.311,2,261.0018,15,0.07306,0.97917
adamax,15.4125,29.2037,34.1778,2,174.0012,16,0.14322,0.95833
ftrl,17.3375,29.6781,33.371,2,435.0031,15,0.32121,0.875
nadam,19.2953,29.0183,35.6102,2,304.5021,16,0.10955,0.95312
sgd,18.65,29.1646,34.0695,2,261.0018,16,0.10611,0.96875
rmsprop,17.2938,29.1412,31.3579,2,174.0012,16,0.12037,0.94792
adadelta,18.7531,29.279,33.561,2,130.5009,7,0.89862,0.43229
adagrad,19.1359,29.2417,35.5239,2,261.0018,15,0.28237,0.85938
adam,19.7,29.1389,33.0878,2,348.0024,15,0.08326,0.97396
adamax,17.95,29.392,33.2329,2,217.5015,16,0.15103,0.95312
ftrl,19.7984,29.3173,29.6847,2,304.5021,15,0.31243,0.89583
nadam,17.9766,29.3216,33.4141,2,261.0018,16,0.09318,0.96354
sgd,19.1687,29.1731,39.6144,2,391.5027,16,0.12655,0.94271
rmsprop,20.6672,29.3398,32.0162,2,435.0031,16,0.08435,0.96875
adadelta,19.0766,29.2108,32.9341,2,261.0018,12,0.57753,0.65104
adagrad,19.8547,29.265,39.1086,2,348.0024,13,0.40447,0.71354
adam,17.975,28.9853,41.1686,2,435.0031,15,0.08617,0.96354
adamax,17.1344,29.7682,38.2985,2,304.5021,16,0.14215,0.93229
ftrl,19.2359,29.3987,40.4113,2,261.0018,16,0.23938,0.9375
nadam,19.4422,29.4508,36.402,2,217.5015,16,0.04976,0.98958
sgd,18.0734,29.4688,34.9481,2,261.0018,16,0.11575,0.93229
rmsprop,19.0703,29.5403,27.7072,2,174.0012,16,0.00629,1.0
adadelta,19.0688,29.4662,31.2808,2,87.0006,8,0.95161,0.40104
adagrad,17.4031,29.5383,36.8351,2,391.5027,15,0.31131,0.84375
adam,21.1719,29.4569,35.1654,2,348.0024,16,0.05164,0.99479
adamax,17.1516,29.5706,36.4059,2,348.0024,15,0.13172,0.96354
ftrl,19.6562,29.3833,33.0953,2,304.5021,16,0.31431,0.86458
nadam,20.6234,29.4239,28.085,2,43.5003,16,0.05296,0.98438
sgd,19.0734,29.2386,32.5712,2,87.0006,15,0.07736,0.96875
rmsprop,19.9625,29.255,30.4285,2,43.5003,15,0.10114,0.98438
adadelta,18.4312,29.2078,36.2875,2,261.0018,7,0.85435,0.54167
adagrad,17.4156,29.551,34.9947,2,217.5015,14,0.28342,0.875
adam,19.8375,29.3171,33.7636,2,261.0018,16,0.06548,0.97396
adamax,17.9219,29.2629,36.9697,2,435.0031,16,0.12997,0.94792
ftrl,18.3844,29.4428,36.1412,2,348.0024,14,0.26921,0.875
nadam,15.0547,29.311,34.7117,2,348.0024,16,0.055,0.97396
sgd,19.0203,29.7553,41.9432,2,217.5015,16,0.14372,0.94271
rmsprop,19.1016,29.5641,31.3065,2,43.5003,16,0.09843,0.97917
adadelta,19.0719,29.6917,32.5706,2,435.0031,8,0.90406,0.42188
adagrad,19.6219,29.7562,34.9564,2,174.0012,15,0.33303,0.83333
adam,17.6047,29.9328,39.2629,2,261.0018,16,0.11864,0.96354
adamax,17.0266,29.8244,35.4028,2,261.0018,16,0.11737,0.96354
ftrl,18.7266,29.7535,43.7438,2,217.5015,15,0.32994,0.86979
nadam,18.2125,29.5824,33.0514,2,130.5009,16,0.06971,0.98438
sgd,19.0391,29.5122,29.417,2,43.5003,16,0.07923,0.97917
rmsprop,18.1656,29.6503,35.2488,2,304.5021,16,0.04339,0.97917
adadelta,19.15,29.5328,33.0946,2,174.0012,12,0.56083,0.60417
adagrad,17.8906,29.6931,31.6071,2,261.0018,15,0.32039,0.83854
adam,17.5891,29.6184,39.2185,2,435.0031,16,0.11365,0.97396
adamax,18.3672,29.5714,39.1264,2,348.0024,13,0.18727,0.91667
ftrl,18.7391,29.8175,33.354,2,435.0031,16,0.26551,0.88542
nadam,19.7406,29.5501,31.3364,2,174.0012,16,0.05185,0.98958
sgd,18.1828,29.5104,34.5739,2,391.5027,16,0.08135,0.97917
rmsprop,20.2031,29.7088,26.6454,2,87.0006,16,0.11123,0.97917
adadelta,17.4469,29.6106,40.3356,2,261.0018,5,0.75286,0.53125
adagrad,19.3937,29.6333,35.364,2,261.0018,12,0.4072,0.76562
adam,18.3719,29.6853,29.0455,2,130.5009,15,0.09088,0.96354
adamax,19.7172,29.8169,36.1584,2,261.0018,16,0.13186,0.94792
ftrl,18.0656,29.8212,34.0111,2,174.0012,15,0.20095,0.94792
