optimizer,cpu,memory,time,epochs,predictions,dataset,loss,accuracy
adadelta,50.575,59.675,29.3186,2,174.0012,9,0.60444,0.57812
adagrad,57.8,55.875,33.657,2,174.0012,14,0.24008,0.94792
adam,63.05,51.05,31.6554,2,87.0006,16,0.06266,0.98958
adamax,48.725,40.025,34.2203,2,174.0012,15,0.14188,0.94792
ftrl,61.05,49.85,30.6516,2,130.5009,16,0.21184,0.96354
nadam,60.275,43.35,35.5599,2,217.5015,16,0.08318,0.97917
sgd,54.0,61.35,32.651,2,435.0031,16,0.10401,0.96875
rmsprop,62.225,43.525,32.2724,2,174.0012,15,0.1606,0.95312
adadelta,63.925,64.775,34.3041,2,435.0031,8,1.2353,0.29167
adagrad,64.25,48.9,33.8795,2,217.5015,16,0.29846,0.89583
adam,55.925,36.15,36.9051,2,304.5021,16,0.08122,0.95833
adamax,53.825,63.5,30.9378,2,87.0006,15,0.09022,0.97396
ftrl,57.425,43.425,35.1397,2,217.5015,16,0.26991,0.94271
nadam,48.675,56.325,31.4559,2,87.0006,15,0.05492,0.98958
sgd,51.375,58.775,39.761,2,261.0018,16,0.11141,0.9375
rmsprop,62.5,50.25,37.6753,2,304.5021,16,0.0703,0.98438
adadelta,42.7,46.6,37.1075,2,348.0024,8,0.96464,0.33333
adagrad,47.85,26.775,41.8924,2,435.0031,14,0.36896,0.83333
adam,58.475,30.45,33.8211,2,261.0018,16,0.08076,0.97396
adamax,62.725,61.55,31.1265,2,217.5015,16,0.21258,0.88021
ftrl,51.725,27.575,39.9852,2,391.5027,16,0.24326,0.92708
nadam,61.7,21.025,31.7774,2,130.5009,16,0.06277,0.97917
sgd,56.675,49.05,29.2226,2,87.0006,15,0.07158,0.97917
rmsprop,48.875,33.075,33.0425,2,435.0031,16,0.10609,0.95312
adadelta,60.825,25.85,35.08,2,217.5015,6,0.97243,0.34375
adagrad,48.375,65.725,28.907,2,174.0012,15,0.2732,0.88021
adam,56.55,53.625,34.083,2,348.0024,16,0.09332,0.97396
adamax,62.95,31.925,36.7635,2,261.0018,15,0.21347,0.90625
ftrl,56.55,19.025,36.6275,2,87.0006,16,0.24244,0.91667
nadam,54.725,64.975,24.8921,2,43.5003,15,0.04669,0.98438
sgd,47.875,43.6,38.0109,2,174.0012,16,0.06045,0.97917
rmsprop,49.25,21.825,38.0405,2,391.5027,16,0.12612,0.96354
adadelta,51.15,18.575,38.0316,2,304.5021,6,0.83101,0.52083
adagrad,53.4,51.1,34.9703,2,217.5015,15,0.23548,0.90625
adam,61.825,64.4,31.79,2,217.5015,16,0.12276,0.94792
adamax,56.975,34.0,33.8282,2,348.0024,16,0.15942,0.93229
ftrl,55.175,52.15,39.6719,2,435.0031,16,0.28769,0.89062
nadam,55.325,48.55,35.661,2,217.5015,15,0.11679,0.94271
sgd,57.55,19.525,36.9861,2,261.0018,16,0.08073,0.97917
rmsprop,55.425,55.225,35.378,2,348.0024,14,0.03844,0.98438
adadelta,63.375,62.15,39.2605,2,391.5027,8,0.81944,0.49479
adagrad,45.95,42.525,35.9165,2,261.0018,16,0.31797,0.86458
adam,61.8,51.425,29.7988,2,43.5003,16,0.06621,0.99479
adamax,47.7,28.0,32.2464,2,217.5015,16,0.12685,0.96354
ftrl,55.85,56.3,30.2077,2,43.5003,14,0.20861,0.96354
nadam,59.025,24.275,38.3682,2,435.0031,15,0.09645,0.95312
sgd,59.675,38.1,32.4574,2,87.0006,16,0.07575,0.97396
rmsprop,60.15,44.1,36.3906,2,217.5015,16,0.08124,0.96354
adadelta,56.1,57.65,31.7472,2,435.0031,10,0.65339,0.60417
adagrad,58.75,37.225,35.9484,2,391.5027,12,0.42685,0.77083
adam,53.925,29.775,31.6041,2,87.0006,16,0.04615,0.98958
adamax,52.8,21.75,44.7302,2,304.5021,14,0.19154,0.88542
ftrl,58.95,54.6,37.2659,2,261.0018,13,0.30375,0.88021
nadam,58.75,48.6,36.6889,2,304.5021,16,0.09241,0.96354
sgd,63.275,24.875,30.3486,2,87.0006,15,0.08327,0.97396
rmsprop,62.025,51.2,36.5281,2,217.5015,15,0.19258,0.94792
adadelta,50.625,44.925,33.1214,2,87.0006,7,0.9459,0.41146
adagrad,51.925,49.75,36.497,2,391.5027,13,0.395,0.82292
adam,42.9,49.725,38.0047,2,348.0024,16,0.15553,0.93229
adamax,53.775,53.375,31.323,2,217.5015,16,0.16456,0.94792
ftrl,56.475,53.875,38.6711,2,435.0031,16,0.25709,0.91146
nadam,44.175,55.075,33.9272,2,261.0018,16,0.14957,0.92708
sgd,46.275,45.2,38.7922,2,348.0024,16,0.11463,0.95833
rmsprop,59.925,49.95,38.8388,2,348.0024,16,0.06123,0.98438
adadelta,60.425,47.8,35.4715,2,43.5003,8,0.76051,0.56771
adagrad,49.4,62.4,30.9742,2,217.5015,13,0.40108,0.76562
adam,60.875,28.525,36.66,2,304.5021,16,0.12418,0.9375
adamax,40.775,32.1,36.3347,2,130.5009,16,0.08102,0.97917
ftrl,58.075,57.15,34.8143,2,130.5009,15,0.27237,0.91667
nadam,55.95,44.075,32.3756,2,304.5021,16,0.08451,0.95312
sgd,49.425,58.45,35.3193,2,217.5015,16,0.06952,0.98438
rmsprop,60.95,55.525,31.1144,2,87.0006,16,0.05367,0.98438
adadelta,52.8,51.375,28.8623,2,87.0006,6,0.99872,0.34896
adagrad,41.125,54.925,29.3025,2,43.5003,15,0.24877,0.92708
adam,55.125,49.7,36.1831,2,304.5021,16,0.08074,0.96875
adamax,39.7,51.65,34.9486,2,435.0031,15,0.22593,0.89583
ftrl,58.2,52.05,34.0525,2,217.5015,15,0.2711,0.93229
nadam,62.0,53.25,31.969,2,130.5009,15,0.049,0.97917
sgd,44.55,54.3,36.3795,2,348.0024,15,0.08315,0.97396
rmsprop,63.55,48.6,38.1407,2,217.5015,16,0.03072,0.98958
adadelta,63.575,50.25,35.3098,2,174.0012,10,0.78161,0.51042
adagrad,60.3,52.325,36.8872,2,348.0024,15,0.34287,0.79688
adam,61.25,40.575,30.4967,2,130.5009,15,0.08695,0.97917
adamax,58.725,34.675,33.6325,2,217.5015,16,0.10753,0.97396
ftrl,61.275,37.575,32.031,2,261.0018,15,0.2935,0.89062
nadam,60.375,31.05,36.6051,2,435.0031,16,0.08504,0.96875
sgd,51.4,41.375,39.8552,2,217.5015,16,0.07728,0.98438
rmsprop,59.275,30.55,33.9098,2,217.5015,16,0.0833,0.98438
adadelta,58.2,55.575,42.4577,2,304.5021,7,0.9272,0.40625
adagrad,59.075,55.175,40.3323,2,304.5021,14,0.41463,0.76042
adam,63.05,37.225,33.4629,2,130.5009,16,0.08177,0.95833
adamax,42.525,48.775,36.65,2,435.0031,16,0.15845,0.95312
ftrl,63.275,18.9,34.8827,2,87.0006,14,0.25319,0.9375
nadam,55.275,53.425,33.6171,2,391.5027,15,0.08858,0.96354
sgd,52.1,55.6,27.3487,2,43.5003,14,0.06522,0.97396
rmsprop,61.825,62.25,33.8043,2,391.5027,13,0.08385,0.98438
adadelta,59.775,33.425,30.0656,2,87.0006,8,0.7462,0.46354
adagrad,56.55,46.825,31.0008,2,87.0006,14,0.23019,0.93229
adam,45.75,52.35,36.4594,2,391.5027,15,0.07435,0.96354
adamax,51.275,64.075,29.187,2,217.5015,16,0.07738,0.97396
ftrl,55.3,54.55,39.7957,2,261.0018,16,0.28237,0.89062
nadam,49.0,32.475,40.0701,2,391.5027,16,0.10013,0.96875
sgd,58.85,55.55,33.3474,2,435.0031,15,0.10233,0.96354
rmsprop,62.15,47.75,37.4299,2,304.5021,16,0.08859,0.96354
adadelta,52.575,48.05,32.1008,2,174.0012,6,0.88836,0.46875
adagrad,61.675,56.85,31.8366,2,130.5009,14,0.27359,0.91146
adam,57.725,58.2,33.8622,2,217.5015,16,0.09281,0.97396
adamax,53.0,48.9,32.8023,2,87.0006,16,0.05396,0.98958
ftrl,56.475,25.7,35.6128,2,304.5021,16,0.24213,0.9375
nadam,57.125,56.525,27.8216,2,43.5003,16,0.06547,0.97917
sgd,54.5,49.375,30.1668,2,87.0006,16,0.05593,0.98958
rmsprop,47.275,51.475,31.85,2,130.5009,14,0.0627,0.97396
adadelta,52.775,47.125,31.229,2,174.0012,5,0.96843,0.38021
adagrad,58.65,53.45,30.9064,2,87.0006,13,0.24622,0.91667
adam,62.875,49.425,44.1355,2,435.0031,16,0.09561,0.96875
adamax,59.275,38.0,36.7256,2,304.5021,16,0.14206,0.9375
ftrl,46.075,45.5,34.5762,2,174.0012,16,0.21131,0.94271
nadam,56.85,53.35,32.159,2,217.5015,16,0.10297,0.95312
sgd,59.475,48.025,30.2597,2,43.5003,15,0.06515,0.98958
rmsprop,55.575,31.2,33.4539,2,304.5021,16,0.08547,0.97917
adadelta,55.0,16.675,41.4664,2,261.0018,4,0.91944,0.43229
